executive_order_id,pdf_url,citation,start_page,end_page,title,signing_date,publication_date,president
13715,https://www.govinfo.gov/content/pkg/FR-2015-12-23/pdf/2015-32582.pdf,80 FR 80195,80195,80206,Adjustments of Certain Rates of Pay,2015-12-18,12/23/2015,Barack Obama
13714,https://www.govinfo.gov/content/pkg/FR-2015-12-18/pdf/2015-32060.pdf,80 FR 79225,79225,79229,Strengthening the Senior Executive Service,2015-12-15,12/18/2015,Barack Obama
13713,https://www.govinfo.gov/content/pkg/FR-2015-12-16/pdf/2015-31749.pdf,80 FR 78117,78117,78118,"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 2015",2015-12-11,12/16/2015,Barack Obama
13712,https://www.govinfo.gov/content/pkg/FR-2015-11-25/pdf/2015-30191.pdf,80 FR 73633,73633,73636,Blocking Property of Certain Persons Contributing to the Situation in Burundi,2015-11-22,11/25/2015,Barack Obama
13711,https://www.govinfo.gov/content/pkg/FR-2015-11-17/pdf/2015-29498.pdf,80 FR 71923,71923,71925,Establishing an Emergency Board To Investigate Disputes Between New Jersey Transit Rail and Certain of Its Employees Represented by Certain Labor Organizations,2015-11-12,11/17/2015,Barack Obama
13710,https://www.govinfo.gov/content/pkg/FR-2015-11-16/pdf/2015-29403.pdf,80 FR 71679,71679,71680,Termination of Emergency With Respect to the Actions and Policies of Former Liberian President Charles Taylor,2015-11-12,11/16/2015,Barack Obama
13709,https://www.govinfo.gov/content/pkg/FR-2015-10-07/pdf/2015-25744.pdf,80 FR 60793,60793,60794,National Security Medal,2015-10-02,10/07/2015,Barack Obama
13708,https://www.govinfo.gov/content/pkg/FR-2015-10-05/pdf/2015-25489.pdf,80 FR 60271,60271,60273,Continuance or Reestablishment of Certain Federal Advisory Committees,2015-09-30,10/05/2015,Barack Obama
13707,https://www.govinfo.gov/content/pkg/FR-2015-09-18/pdf/2015-23630.pdf,80 FR 56365,56365,56367,Using Behavioral Science Insights To Better Serve the American People,2015-09-15,09/18/2015,Barack Obama
13706,https://www.govinfo.gov/content/pkg/FR-2015-09-10/pdf/2015-22998.pdf,80 FR 54697,54697,54700,Establishing Paid Sick Leave for Federal Contractors,2015-09-07,09/10/2015,Barack Obama
13705,https://www.govinfo.gov/content/pkg/FR-2015-09-09/pdf/2015-22888.pdf,80 FR 54405,54405,54406,"Designating the International Renewable Energy Agency as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities",2015-09-03,09/09/2015,Barack Obama
13704,https://www.govinfo.gov/content/pkg/FR-2015-08-20/pdf/2015-20801.pdf,80 FR 50751,50751,50753,Presidential Innovation Fellows Program,2015-08-17,08/20/2015,Barack Obama
13703,https://www.govinfo.gov/content/pkg/FR-2015-08-04/pdf/2015-19209.pdf,80 FR 46181,46181,46184,Implementing the National HIV/AIDS Strategy for the United States for 2015-2020,2015-07-30,08/04/2015,Barack Obama
13702,https://www.govinfo.gov/content/pkg/FR-2015-08-03/pdf/2015-19183.pdf,80 FR 46177,46177,46180,Creating a National Strategic Computing Initiative,2015-07-29,08/03/2015,Barack Obama
13701,https://www.govinfo.gov/content/pkg/FR-2015-07-23/pdf/2015-18292.pdf,80 FR 43903,43903,43905,Delegation of Certain Authorities and Assignment of Certain Functions Under the Bipartisan Congressional Trade Priorities and Accountability Act of 2015,2015-07-17,07/23/2015,Barack Obama
13700,https://www.govinfo.gov/content/pkg/FR-2015-07-20/pdf/2015-17926.pdf,80 FR 43003,43003,43005,Establishing an Emergency Board To Investigate Disputes Between New Jersey Transit Rail and Certain of Its Employees Represented by Certain Labor Organizations,2015-07-15,07/20/2015,Barack Obama
13699,https://www.govinfo.gov/content/pkg/FR-2015-07-01/pdf/2015-16334.pdf,80 FR 37529,37529,37530,Establishing the Advisory Board on Toxic Substances and Worker Health,2015-06-26,07/01/2015,Barack Obama
13698,https://www.govinfo.gov/content/pkg/FR-2015-06-29/pdf/2015-16122.pdf,80 FR 37131,37131,37134,Hostage Recovery Activities,2015-06-24,06/29/2015,Barack Obama
13697,https://www.govinfo.gov/content/pkg/FR-2015-06-25/pdf/2015-15828.pdf,80 FR 36691,36691,36691,"Amendment to Executive Order 11155, Awards for Special Capability in Career and Technical Education",2015-06-22,06/25/2015,Barack Obama
13696,https://www.govinfo.gov/content/pkg/FR-2015-06-22/pdf/2015-15495.pdf,80 FR 35783,35783,35828,"2015 Amendments to the Manual for Courts-Martial, United States",2015-06-17,06/22/2015,Barack Obama
13695,https://www.govinfo.gov/content/pkg/FR-2015-05-28/pdf/2015-13055.pdf,80 FR 30331,30331,30331,Termination of Emergency With Respect to the Risk of Nuclear Proliferation Created by the Accumulation of a Large Volume of Weapons-Usable Fissile Material in the Territory of the Russian Federation,2015-05-26,05/28/2015,Barack Obama
13694,https://www.govinfo.gov/content/pkg/FR-2015-04-02/pdf/2015-07788.pdf,80 FR 18077,18077,18079,Blocking the Property of Certain Persons Engaging in Significant Malicious Cyber-Enabled Activities,2015-04-01,04/02/2015,Barack Obama
13693,https://www.govinfo.gov/content/pkg/FR-2015-03-25/pdf/2015-07016.pdf,80 FR 15871,15871,15884,Planning for Federal Sustainability in the Next Decade,2015-03-19,03/25/2015,Barack Obama
13692,https://www.govinfo.gov/content/pkg/FR-2015-03-11/pdf/2015-05677.pdf,80 FR 12747,12747,12751,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Venezuela,2015-03-08,03/11/2015,Barack Obama
13691,https://www.govinfo.gov/content/pkg/FR-2015-02-20/pdf/2015-03714.pdf,80 FR 9349,9349,9353,Promoting Private Sector Cybersecurity Information Sharing,2015-02-13,02/20/2015,Barack Obama
13690,https://www.govinfo.gov/content/pkg/FR-2015-02-04/pdf/2015-02379.pdf,80 FR 6425,6425,6428,Establishing a Federal Flood Risk Management Standard and a Process for Further Soliciting and Considering Stakeholder Input,2015-01-30,02/04/2015,Barack Obama
13689,https://www.govinfo.gov/content/pkg/FR-2015-01-26/pdf/2015-01522.pdf,80 FR 4191,4191,4194,Enhancing Coordination of National Efforts in the Arctic,2015-01-21,01/26/2015,Barack Obama
13688,https://www.govinfo.gov/content/pkg/FR-2015-01-22/pdf/2015-01255.pdf,80 FR 3451,3451,3453,Federal Support for Local Law Enforcement Equipment Acquisition,2015-01-16,01/22/2015,Barack Obama
13687,https://www.govinfo.gov/content/pkg/FR-2015-01-06/pdf/2015-00058.pdf,80 FR 819,819,821,Imposing Additional Sanctions With Respect To North Korea,2015-01-02,01/06/2015,Barack Obama
13685,https://www.govinfo.gov/content/pkg/FR-2014-12-24/pdf/2014-30323.pdf,79 FR 77357,77357,77359,Blocking Property of Certain Persons and Prohibiting Certain Transactions With Respect to the Crimea Region of Ukraine,2014-12-19,12/24/2014,Barack Obama
13686,https://www.govinfo.gov/content/pkg/FR-2014-12-24/pdf/2014-30363.pdf,79 FR 77361,77361,77372,Adjustments of Certain Rates of Pay,2014-12-19,12/24/2014,Barack Obama
13684,https://www.govinfo.gov/content/pkg/FR-2014-12-23/pdf/2014-30195.pdf,79 FR 76865,76865,76866,Establishment of the President's Task Force on 21st Century Policing,2014-12-18,12/23/2014,Barack Obama
13683,https://www.govinfo.gov/content/pkg/FR-2014-12-16/pdf/2014-29625.pdf,79 FR 75041,75041,75042,"Amendments to Executive Orders 11030, 13653, and 13673",2014-12-11,12/16/2014,Barack Obama
13682,https://www.govinfo.gov/content/pkg/FR-2014-12-10/pdf/2014-29121.pdf,79 FR 73459,73459,73460,"Closing of Executive Departments and Agencies of the Federal Government on Friday, December 26, 2014",2014-12-05,12/10/2014,Barack Obama
13680,https://www.govinfo.gov/content/pkg/FR-2014-10-23/pdf/2014-25292.pdf,79 FR 63287,63287,63287,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty,2014-10-16,10/23/2014,Barack Obama
13681,https://www.govinfo.gov/content/pkg/FR-2014-10-23/pdf/2014-25439.pdf,79 FR 63491,63491,63493,Improving the Security of Consumer Financial Transactions,2014-10-17,10/23/2014,Barack Obama
13679,https://www.govinfo.gov/content/pkg/FR-2014-10-17/pdf/2014-24851.pdf,79 FR 62323,62323,62324,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Locomotive Engineers Represented by the Brotherhood of Locomotive Engineers and Trainmen,2014-10-10,10/17/2014,Barack Obama
13678,https://www.govinfo.gov/content/pkg/FR-2014-10-08/pdf/2014-24218.pdf,79 FR 60949,60949,60950,"Conversion Authority for Criminal Investigators (Special Agents) of the Bureau of Alcohol, Tobacco, Firearms, and Explosives",2014-10-03,10/08/2014,Barack Obama
13677,https://www.govinfo.gov/content/pkg/FR-2014-09-26/pdf/2014-23228.pdf,79 FR 58231,58231,58236,Climate-Resilient International Development,2014-09-23,09/26/2014,Barack Obama
13676,https://www.govinfo.gov/content/pkg/FR-2014-09-23/pdf/2014-22805.pdf,79 FR 56931,56931,56935,Combating Antibiotic-Resistant Bacteria,2014-09-18,09/23/2014,Barack Obama
13675,https://www.govinfo.gov/content/pkg/FR-2014-08-08/pdf/2014-18998.pdf,79 FR 46661,46661,46663,Establishing the President's Advisory Council on Doing Business in Africa,2014-08-05,08/08/2014,Barack Obama
13674,https://www.govinfo.gov/content/pkg/FR-2014-08-06/pdf/2014-18682.pdf,79 FR 45671,45671,45671,Revised List of Quarantinable Communicable Diseases,2014-07-31,08/06/2014,Barack Obama
13673,https://www.govinfo.gov/content/pkg/FR-2014-08-05/pdf/2014-18561.pdf,79 FR 45309,45309,45315,Fair Pay and Safe Workplaces,2014-07-31,08/05/2014,Barack Obama
13672,https://www.govinfo.gov/content/pkg/FR-2014-07-23/pdf/2014-17522.pdf,79 FR 42971,42971,42972,"Further Amendments to Executive Order 11478, Equal Employment Opportunity in the Federal Government, and Executive Order 11246, Equal Employment Opportunity",2014-07-21,07/23/2014,Barack Obama
13671,https://www.govinfo.gov/content/pkg/FR-2014-07-10/pdf/2014-16360.pdf,79 FR 39949,39949,39951,Taking Additional Steps to Address the National Emergency With Respect to the Conflict in the Democratic Republic of the Congo,2014-07-08,07/10/2014,Barack Obama
13670,https://www.govinfo.gov/content/pkg/FR-2014-06-18/pdf/2014-14432.pdf,79 FR 35029,35029,35031,Establishing an Emergency Board To Investigate Disputes Between the Southeastern Pennsylvania Transportation Authority and Certain of Its Employees Represented by Certain Labor Organizations,2014-06-14,06/18/2014,Barack Obama
13669,https://www.govinfo.gov/content/pkg/FR-2014-06-18/pdf/2014-14429.pdf,79 FR 34999,34999,35027,"2014 Amendments to the Manual for Courts-Martial, United States",2014-06-13,06/18/2014,Barack Obama
13668,https://www.govinfo.gov/content/pkg/FR-2014-05-29/pdf/2014-12651.pdf,79 FR 31019,31019,31020,"Ending Immunities Granted to the Development Fund for Iraq and Certain Other Iraqi Property and Interests in Property Pursuant to Executive Order 13303, as Amended",2014-05-27,05/29/2014,Barack Obama
13667,https://www.govinfo.gov/content/pkg/FR-2014-05-15/pdf/2014-11442.pdf,79 FR 28387,28387,28391,Blocking Property of Certain Persons Contributing to the Conflict in the Central African Republic,2014-05-12,05/15/2014,Barack Obama
13666,https://www.govinfo.gov/content/pkg/FR-2014-04-23/pdf/2014-09343.pdf,79 FR 22591,22591,22591,Expanding Eligibility for the Defense Meritorious Service Medal,2014-04-18,04/23/2014,Barack Obama
13665,https://www.govinfo.gov/content/pkg/FR-2014-04-11/pdf/2014-08426.pdf,79 FR 20749,20749,20750,Non-Retaliation for Disclosure of Compensation Information,2014-04-08,04/11/2014,Barack Obama
13664,https://www.govinfo.gov/content/pkg/FR-2014-04-07/pdf/2014-07895.pdf,79 FR 19283,19283,19285,Blocking Property of Certain Persons With Respect to South Sudan,2014-04-03,04/07/2014,Barack Obama
13663,https://www.govinfo.gov/content/pkg/FR-2014-03-25/pdf/2014-06768.pdf,79 FR 16647,16647,16649,Establishing an Emergency Board to Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,2014-03-20,03/25/2014,Barack Obama
13662,https://www.govinfo.gov/content/pkg/FR-2014-03-24/pdf/2014-06612.pdf,79 FR 16169,16169,16171,Blocking Property of Additional Persons Contributing to the Situation in Ukraine,2014-03-20,03/24/2014,Barack Obama
13661,https://www.govinfo.gov/content/pkg/FR-2014-03-19/pdf/2014-06141.pdf,79 FR 15535,15535,15538,Blocking Property of Additional Persons Contributing to the Situation in Ukraine,2014-03-16,03/19/2014,Barack Obama
13660,https://www.govinfo.gov/content/pkg/FR-2014-03-10/pdf/2014-05323.pdf,79 FR 13493,13493,13495,Blocking Property of Certain Persons Contributing to the Situation in Ukraine,2014-03-06,03/10/2014,Barack Obama
13659,https://www.govinfo.gov/content/pkg/FR-2014-02-25/pdf/2014-04254.pdf,79 FR 10657,10657,10660,Streamlining the Export/Import Process for America's Businesses,2014-02-19,02/25/2014,Barack Obama
13658,https://www.govinfo.gov/content/pkg/FR-2014-02-20/pdf/2014-03805.pdf,79 FR 9851,9851,9854,Establishing a Minimum Wage for Contractors,2014-02-12,02/20/2014,Barack Obama
13657,https://www.govinfo.gov/content/pkg/FR-2014-02-14/pdf/2014-03474.pdf,79 FR 8823,8823,8823,Changing the Name of the National Security Staff to the National Security Council Staff,2014-02-10,02/14/2014,Barack Obama
13656,https://www.govinfo.gov/content/pkg/FR-2014-01-24/pdf/2014-01523.pdf,79 FR 4263,4263,4264,Establishment of Afghanistan and Pakistan Strategic Partnership Office and Amendment to Executive Order 12163,2014-01-17,01/24/2014,Barack Obama
13655,https://www.govinfo.gov/content/pkg/FR-2013-12-31/pdf/2013-31445.pdf,78 FR 80451,80451,80462,Adjustments of Certain Rates of Pay,2013-12-23,12/31/2013,Barack Obama
13654,https://www.govinfo.gov/content/pkg/FR-2013-11-26/pdf/2013-28581.pdf,78 FR 70843,70843,70845,Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,2013-11-21,11/26/2013,Barack Obama
13653,https://www.govinfo.gov/content/pkg/FR-2013-11-06/pdf/2013-26785.pdf,78 FR 66819,66819,66824,Preparing the United States for the Impacts of Climate Change,2013-11-01,11/06/2013,Barack Obama
13652,https://www.govinfo.gov/content/pkg/FR-2013-10-04/pdf/2013-24388.pdf,78 FR 61817,61817,61820,Continuance Of Certain Federal Advisory Committees,2013-09-30,10/04/2013,Barack Obama
13651,https://www.govinfo.gov/content/pkg/FR-2013-08-09/pdf/2013-19520.pdf,78 FR 48793,48793,48794,Prohibiting Certain Imports of Burmese Jadeite and Rubies,2013-08-06,08/09/2013,Barack Obama
13650,https://www.govinfo.gov/content/pkg/FR-2013-08-07/pdf/2013-19220.pdf,78 FR 48029,48029,48033,Improving Chemical Facility Safety and Security,2013-08-01,08/07/2013,Barack Obama
13649,https://www.govinfo.gov/content/pkg/FR-2013-07-18/pdf/2013-17478.pdf,78 FR 43057,43057,43059,Accelerating Improvements in HIV Prevention and Care in the United States Through the HIV Care Continuum Initiative,2013-07-15,07/18/2013,Barack Obama
13648,https://www.govinfo.gov/content/pkg/FR-2013-07-05/pdf/2013-16387.pdf,78 FR 40621,40621,40623,Combating Wildlife Trafficking,2013-07-01,07/05/2013,Barack Obama
13647,https://www.govinfo.gov/content/pkg/FR-2013-07-01/pdf/2013-15942.pdf,78 FR 39539,39539,39542,Establishing the White House Council on Native American Affairs,2013-06-26,07/01/2013,Barack Obama
13646,https://www.govinfo.gov/content/pkg/FR-2013-06-28/pdf/2013-15782.pdf,78 FR 39159,39159,39161,Establishing the President's Advisory Council on Financial Capability for Young Americans,2013-06-25,06/28/2013,Barack Obama
13645,https://www.govinfo.gov/content/pkg/FR-2013-06-05/pdf/2013-13523.pdf,78 FR 33945,33945,33953,Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter- Proliferation Act of 2012 and Additional Sanctions With Respect To Iran,2013-06-03,06/05/2013,Barack Obama
13644,https://www.govinfo.gov/content/pkg/FR-2013-05-24/pdf/2013-12650.pdf,78 FR 31813,31813,31813,Amendment to Executive Order 13639,2013-05-21,05/24/2013,Barack Obama
13643,https://www.govinfo.gov/content/pkg/FR-2013-05-21/pdf/2013-12157.pdf,78 FR 29559,29559,29610,"2013 Amendments to the Manual for Courts-Martial, United States",2013-05-15,05/21/2013,Barack Obama
13642,https://www.govinfo.gov/content/pkg/FR-2013-05-14/pdf/2013-11533.pdf,78 FR 28111,28111,28113,Making Open and Machine Readable the New Default for Government Information,2013-05-09,05/14/2013,Barack Obama
