cid	uid	executive_order_id	message	timestamp
91	134	13970	I oppose this order.	2024-02-15 03:06:28
92	143	13073	Disagree completely.	2024-04-03 03:51:05
93	143	13767	This order will strengthen our borders.	2024-06-19 00:33:58
94	90	13384	Disagree completely.	2024-01-07 16:24:04
95	183	13795	Unbelievable!	2024-11-04 16:16:24
96	225	13888	Disagree completely.	2024-06-16 04:41:54
97	194	13951	I support this order.	2025-03-10 12:04:54
98	157	13203	This order will NOT strengthen our borders.	2024-06-29 00:53:18
99	115	13794	Unbelievable!	2024-05-23 19:23:28
100	38	13888	Totally agree.	2024-04-14 02:51:24
101	45	12979	I oppose this order.	2024-07-19 17:36:23
102	116	13253	yay no tariffs	2025-01-30 00:47:59
103	104	14222	This order will strengthen our borders.	2024-05-22 19:56:40
104	214	13247	yay no tariffs	2024-01-17 16:47:35
105	6	13846	I support this order.	2024-06-18 16:14:43
106	200	14223	justin trudeau for president	2024-12-03 07:12:39
107	240	13388	Totally agree.	2024-09-03 06:39:40
108	111	13785	What a move!	2025-03-29 14:40:59
109	199	13560	This order will strengthen our borders.	2024-04-30 17:33:42
110	136	13644	What a move!	2025-02-01 20:05:08
111	122	13147	Disagree completely.	2024-05-09 06:18:57
112	44	13472	This order will NOT strengthen our borders.	2025-01-02 02:18:33
113	97	13582	What a move!	2024-03-13 10:40:48
114	114	13439	I support this order.	2024-05-04 10:21:20
115	223	13215	yay no tariffs	2024-04-14 06:36:19
116	134	13667	Totally agree.	2024-01-22 19:54:41
117	150	13793	Totally agree.	2025-03-21 21:53:10
118	182	13185	What a move!	2024-05-09 04:42:41
119	184	13788	I oppose this order.	2024-01-13 23:58:13
120	233	13595	Disagree completely.	2024-07-21 15:30:47
121	70	12963	Disagree completely.	2024-02-01 17:35:58
123	73	14152	This order will strengthen our borders.	2024-11-01 06:19:24
124	230	13830	justin trudeau for president	2024-10-22 01:17:38
125	158	14147	This order will NOT strengthen our borders.	2024-07-03 12:26:02
126	63	13787	This order will NOT strengthen our borders.	2024-10-29 23:20:35
127	51	13500	I oppose this order.	2025-03-07 00:53:11
129	115	13589	yay no tariffs	2024-09-23 07:24:26
130	114	13448	Unbelievable!	2024-04-04 23:23:21
131	142	13575	What a move!	2024-10-30 00:06:05
132	79	13984	This order will strengthen our borders.	2024-01-09 06:07:01
133	36	13657	I oppose this order.	2024-05-06 22:02:41
134	79	13686	This order will strengthen our borders.	2024-02-19 20:50:04
135	176	13492	What a move!	2024-07-16 16:28:14
136	102	14148	Unbelievable!	2024-10-31 10:29:17
137	186	13353	This order will strengthen our borders.	2025-03-15 03:32:37
138	172	13044	yay no tariffs	2024-11-04 13:17:10
139	183	13052	justin trudeau for president	2024-10-05 00:08:56
140	143	13450	Disagree completely.	2024-03-12 15:05:20
141	59	13172	Disagree completely.	2024-08-29 21:40:05
142	122	13863	Totally agree.	2024-05-10 06:38:53
143	20	13031	This order will NOT strengthen our borders.	2024-05-02 04:02:48
144	189	12980	yay no tariffs	2024-07-05 07:47:11
145	53	13285	Disagree completely.	2024-10-03 04:53:19
146	199	13292	I support this order.	2024-01-21 04:30:59
147	241	13823	What a move!	2025-02-06 23:55:00
148	140	13847	justin trudeau for president	2024-03-20 12:45:47
149	185	13834	Unbelievable!	2025-02-17 12:40:09
150	48	13054	I oppose this order.	2025-03-16 15:21:03
151	128	13218	What a move!	2024-09-19 16:11:14
152	240	13616	justin trudeau for president	2024-05-24 04:19:42
153	58	13910	This order will strengthen our borders.	2024-03-21 12:01:22
154	19	13678	justin trudeau for president	2024-05-15 10:24:23
155	20	13208	What a move!	2024-08-25 15:56:19
156	82	13304	I oppose this order.	2025-02-28 14:53:23
157	58	13594	Unbelievable!	2024-06-03 05:27:27
158	28	12994	justin trudeau for president	2025-01-18 09:24:12
159	64	13233	This order will NOT strengthen our borders.	2024-08-20 22:28:32
160	90	13464	yay no tariffs	2024-04-27 13:24:15
161	22	13792	What a move!	2024-07-30 12:37:35
162	215	13898	Unbelievable!	2024-10-11 19:24:54
163	134	14169	justin trudeau for president	2024-11-06 01:32:18
164	114	13633	This order will NOT strengthen our borders.	2024-07-11 00:53:30
165	206	13051	justin trudeau for president	2024-04-22 20:35:18
166	175	13058	Disagree completely.	2024-05-03 21:10:52
167	237	13113	Totally agree.	2025-01-25 23:58:52
168	151	14216	This order will NOT strengthen our borders.	2024-06-06 18:09:06
169	12	13518	Disagree completely.	2025-03-13 04:08:41
170	34	13287	yay no tariffs	2025-01-01 06:48:17
171	144	13191	Totally agree.	2024-03-28 06:49:05
172	198	13505	yay no tariffs	2025-01-22 22:07:47
173	128	13494	Totally agree.	2024-04-29 14:22:29
174	246	13429	justin trudeau for president	2024-08-07 03:44:38
175	248	13865	Totally agree.	2024-10-25 22:24:30
176	189	13846	Unbelievable!	2025-01-25 23:32:46
177	122	13042	justin trudeau for president	2024-04-11 03:47:50
178	65	13144	This order will strengthen our borders.	2024-07-22 09:14:07
179	61	13668	I support this order.	2024-12-20 10:54:48
180	218	13427	What a move!	2024-06-03 11:33:00
181	1	13314	justin trudeau for president	2025-01-07 07:15:35
182	150	13596	justin trudeau for president	2024-04-07 20:17:04
183	155	13472	Disagree completely.	2024-05-22 05:23:03
184	130	13832	This order will NOT strengthen our borders.	2024-08-03 21:45:50
185	70	13694	This order will strengthen our borders.	2025-02-12 00:39:58
186	22	13560	What a move!	2024-10-09 07:04:48
187	139	13528	This order will strengthen our borders.	2024-08-23 00:02:07
188	74	13293	Disagree completely.	2024-08-25 01:12:28
190	69	12995	This order will NOT strengthen our borders.	2024-01-21 03:43:22
191	82	13526	This order will strengthen our borders.	2024-06-04 09:29:44
192	113	13344	justin trudeau for president	2024-09-17 23:11:26
193	156	13114	Totally agree.	2024-08-13 17:30:52
195	174	13240	I oppose this order.	2024-05-04 08:05:38
196	92	13364	Totally agree.	2024-10-13 02:37:04
197	8	13447	Totally agree.	2024-08-01 18:17:41
198	110	13711	I support this order.	2024-09-19 07:18:46
200	6	13630	This order will NOT strengthen our borders.	2025-02-27 18:28:57
201	245	13095	This order will NOT strengthen our borders.	2024-09-27 12:31:49
202	224	13486	Unbelievable!	2024-01-31 02:44:27
203	80	13915	This order will strengthen our borders.	2024-02-27 16:44:52
204	28	13057	Disagree completely.	2024-03-10 22:35:59
205	232	13843	This order will strengthen our borders.	2024-07-08 23:53:30
206	101	13148	justin trudeau for president	2024-12-26 12:33:36
207	207	13328	What a move!	2025-01-09 08:19:29
208	142	13062	This order will strengthen our borders.	2024-05-27 10:26:50
209	164	13735	yay no tariffs	2024-10-15 10:35:40
210	34	13455	I support this order.	2024-01-22 06:46:41
211	74	13421	Disagree completely.	2024-08-04 16:58:50
212	14	13626	I support this order.	2024-08-24 23:20:17
213	223	13792	Disagree completely.	2024-08-09 07:30:20
214	137	13443	I oppose this order.	2024-03-15 19:44:48
215	6	13236	Disagree completely.	2024-02-22 15:02:56
216	193	13434	I oppose this order.	2024-05-01 21:38:01
217	162	13553	What a move!	2024-10-26 19:46:05
218	200	13902	This order will strengthen our borders.	2024-09-08 04:27:39
219	127	13689	This order will strengthen our borders.	2024-09-08 02:42:28
220	198	14173	Totally agree.	2025-01-12 03:00:22
221	144	14206	I support this order.	2024-06-30 17:35:45
222	176	12982	Totally agree.	2024-08-08 16:24:41
223	187	13465	I oppose this order.	2024-06-19 20:23:13
224	237	13491	I oppose this order.	2024-10-02 18:12:27
225	74	13791	This order will NOT strengthen our borders.	2024-08-18 14:38:08
226	190	13487	yay no tariffs	2025-03-03 19:14:29
227	56	13704	justin trudeau for president	2025-02-21 15:56:11
228	139	13511	yay no tariffs	2025-01-30 04:40:17
229	195	13907	This order will strengthen our borders.	2024-01-28 07:50:15
230	115	13824	What a move!	2024-10-26 11:10:02
231	123	13453	What a move!	2024-09-05 02:45:49
232	215	13570	Disagree completely.	2024-04-20 18:53:11
233	225	13917	This order will strengthen our borders.	2024-11-08 00:05:27
235	23	13554	Totally agree.	2024-05-04 06:52:48
236	222	13368	This order will strengthen our borders.	2024-06-24 18:41:31
237	16	13944	What a move!	2024-09-13 10:46:43
238	224	13445	yay no tariffs	2025-02-18 21:28:11
240	5	13579	Disagree completely.	2024-07-13 07:08:59
241	111	13886	This order will NOT strengthen our borders.	2025-03-29 09:40:03
242	195	13607	Unbelievable!	2025-02-24 15:23:14
243	171	13320	I oppose this order.	2024-04-04 01:29:38
244	213	14223	This order will NOT strengthen our borders.	2024-08-12 00:47:33
245	105	13376	I oppose this order.	2024-07-12 14:02:16
246	197	13573	Disagree completely.	2024-02-16 22:49:09
248	28	14190	Totally agree.	2024-08-13 12:39:29
249	144	13760	justin trudeau for president	2024-06-01 22:40:38
250	33	13942	This order will NOT strengthen our borders.	2024-02-09 07:30:44
251	202	13275	Totally agree.	2024-05-23 03:22:04
252	248	13577	What a move!	2024-05-06 15:21:21
254	239	14160	This order will NOT strengthen our borders.	2024-06-11 04:33:21
255	201	13644	This order will strengthen our borders.	2024-02-19 17:33:45
256	148	14195	Disagree completely.	2024-10-15 17:46:57
257	16	14198	yay no tariffs	2025-01-28 09:35:02
258	212	13406	I oppose this order.	2024-04-11 03:33:01
259	49	13733	Totally agree.	2024-01-26 21:10:55
260	168	13214	This order will strengthen our borders.	2024-07-20 18:20:16
261	104	13497	justin trudeau for president	2024-09-19 20:05:33
262	45	13227	What a move!	2024-02-29 02:09:05
263	68	13807	I support this order.	2025-01-17 22:24:42
264	176	13881	I support this order.	2024-05-31 00:30:43
265	189	13460	Unbelievable!	2024-06-08 18:41:42
266	69	13721	What a move!	2024-11-30 12:50:45
267	184	13549	Totally agree.	2025-03-14 14:49:40
268	238	13407	This order will strengthen our borders.	2024-04-09 07:11:10
269	190	14152	yay no tariffs	2024-12-05 16:45:36
270	187	13096	Unbelievable!	2024-06-24 14:30:04
271	183	13070	Unbelievable!	2024-02-19 09:42:21
272	6	13533	I support this order.	2024-07-11 01:23:03
273	97	13870	yay no tariffs	2025-03-08 03:21:22
274	39	13097	This order will NOT strengthen our borders.	2024-12-07 10:53:17
275	33	14179	Disagree completely.	2024-08-07 06:21:12
276	192	13200	Unbelievable!	2024-07-26 12:11:37
277	27	13061	justin trudeau for president	2024-07-30 04:52:31
278	65	13420	yay no tariffs	2024-05-24 16:02:29
279	34	13896	I oppose this order.	2024-04-12 12:48:25
280	102	13926	Totally agree.	2024-06-04 22:10:42
281	135	13869	Totally agree.	2025-03-18 20:46:08
282	106	13063	Totally agree.	2024-10-13 00:35:08
283	175	13983	This order will strengthen our borders.	2024-08-04 13:20:06
284	40	13006	justin trudeau for president	2024-03-14 02:31:09
285	38	13730	This order will strengthen our borders.	2025-01-28 02:46:41
286	25	13713	justin trudeau for president	2024-06-29 17:28:20
287	182	13344	yay no tariffs	2024-05-11 14:21:21
288	64	13193	I oppose this order.	2024-03-15 07:07:03
289	164	13363	justin trudeau for president	2024-01-23 17:20:31
291	40	13085	Disagree completely.	2024-08-13 19:04:24
293	101	13555	Disagree completely.	2024-02-09 08:57:53
294	101	13446	This order will strengthen our borders.	2024-12-05 18:16:54
295	175	12962	yay no tariffs	2024-10-07 12:18:50
296	20	13391	yay no tariffs	2024-08-30 18:33:01
297	80	13160	This order will NOT strengthen our borders.	2024-09-25 18:14:03
298	101	13443	Totally agree.	2024-09-22 04:06:18
299	207	13441	Disagree completely.	2024-05-01 15:11:12
300	29	13810	Totally agree.	2024-05-24 05:36:35
301	37	13060	This order will strengthen our borders.	2025-02-02 22:47:22
302	147	13423	Disagree completely.	2024-06-29 06:07:52
303	145	13277	This order will NOT strengthen our borders.	2024-10-14 14:04:12
304	158	13263	Disagree completely.	2024-08-16 03:54:30
305	229	13652	What a move!	2024-05-16 03:07:53
306	237	13798	Unbelievable!	2024-09-20 12:08:24
307	44	13647	justin trudeau for president	2024-10-20 02:28:03
308	9	13120	justin trudeau for president	2025-02-25 01:50:34
309	244	13519	I support this order.	2024-12-04 10:07:48
310	204	13681	Totally agree.	2024-10-13 23:00:29
311	50	13841	yay no tariffs	2024-09-26 13:38:56
312	45	13739	What a move!	2024-12-21 04:02:28
313	153	13647	What a move!	2024-05-27 02:33:09
314	225	13323	This order will strengthen our borders.	2024-08-01 06:28:12
315	78	13619	I oppose this order.	2025-01-08 20:57:15
316	130	13608	justin trudeau for president	2024-07-24 23:07:17
317	27	13755	I support this order.	2024-03-19 09:27:35
318	102	13002	What a move!	2024-06-20 11:07:10
319	63	13148	Disagree completely.	2024-10-23 15:21:25
320	120	13361	I oppose this order.	2024-10-21 16:13:58
321	74	13176	What a move!	2024-07-28 22:53:11
322	220	13757	Disagree completely.	2024-11-20 20:54:49
323	191	13647	I oppose this order.	2024-01-09 09:23:29
324	31	14150	I support this order.	2024-03-20 10:47:12
325	74	13618	justin trudeau for president	2024-05-03 23:36:57
326	48	13535	justin trudeau for president	2024-10-16 04:37:24
328	245	13508	This order will strengthen our borders.	2024-10-12 20:01:19
329	165	13498	Totally agree.	2024-07-17 16:25:47
331	105	14203	justin trudeau for president	2025-03-05 17:10:49
332	191	13628	Totally agree.	2024-03-20 23:47:19
333	188	12994	What a move!	2024-06-24 11:29:18
334	197	13434	Totally agree.	2024-08-23 19:05:14
335	38	13350	Disagree completely.	2024-11-26 10:58:55
336	156	13952	I oppose this order.	2025-01-22 16:17:54
337	31	12977	What a move!	2025-03-21 03:12:43
338	126	13530	Unbelievable!	2024-12-09 10:31:45
339	76	13453	Totally agree.	2024-08-07 17:57:58
340	28	13176	Disagree completely.	2025-01-23 03:34:10
341	96	13749	justin trudeau for president	2024-03-26 21:20:47
342	229	13450	Totally agree.	2024-06-21 22:53:31
343	198	13460	Unbelievable!	2024-10-23 16:48:05
344	141	13342	Unbelievable!	2024-11-01 18:52:01
345	145	13287	I oppose this order.	2024-06-13 00:37:39
346	118	13715	Unbelievable!	2024-05-19 18:30:50
347	63	13536	I support this order.	2024-12-29 19:12:13
348	22	13478	Disagree completely.	2024-01-11 07:16:39
349	205	13744	justin trudeau for president	2024-05-31 03:36:43
350	60	14171	Totally agree.	2024-02-02 21:45:49
351	175	13410	I support this order.	2024-12-29 18:19:54
352	120	13590	This order will NOT strengthen our borders.	2024-08-12 05:26:39
353	144	14222	Unbelievable!	2024-11-17 23:29:51
354	92	13982	justin trudeau for president	2024-05-11 14:49:31
355	132	13954	This order will strengthen our borders.	2024-11-03 23:48:26
356	32	13739	yay no tariffs	2024-12-04 10:40:55
357	192	13874	Unbelievable!	2025-02-20 15:42:48
358	202	13515	This order will strengthen our borders.	2024-05-07 19:31:48
359	32	13864	I support this order.	2024-11-30 01:29:10
360	119	13610	yay no tariffs	2024-05-02 07:11:20
361	123	13920	yay no tariffs	2024-06-10 21:18:39
362	26	13613	justin trudeau for president	2024-01-05 20:03:49
363	37	13532	What a move!	2025-01-25 06:41:04
364	189	13347	Totally agree.	2024-08-08 20:02:43
365	79	13513	Disagree completely.	2024-12-13 17:37:46
366	29	13001	This order will NOT strengthen our borders.	2024-09-09 16:51:44
367	174	13406	Disagree completely.	2024-07-20 01:44:28
368	104	13257	yay no tariffs	2025-03-07 14:05:07
369	90	13283	I support this order.	2024-02-29 14:40:55
370	244	13948	Unbelievable!	2025-03-27 00:59:27
371	210	13546	This order will NOT strengthen our borders.	2024-07-13 14:11:52
372	42	12967	I oppose this order.	2024-06-13 04:32:39
373	8	13392	Disagree completely.	2025-01-17 08:24:39
374	74	13641	I support this order.	2024-08-06 09:24:26
375	179	13556	I oppose this order.	2024-10-23 12:27:27
376	47	13579	yay no tariffs	2025-03-18 02:17:11
377	6	13649	I oppose this order.	2024-05-23 05:05:50
378	150	13945	Unbelievable!	2025-03-03 06:17:21
379	65	13027	I oppose this order.	2025-01-15 09:09:11
380	82	13164	I support this order.	2024-04-19 20:25:36
381	47	13299	Totally agree.	2025-03-27 14:21:56
382	53	13702	yay no tariffs	2024-04-11 02:30:34
383	194	13595	Totally agree.	2025-01-11 03:15:18
385	216	13064	Totally agree.	2024-02-24 13:15:22
386	159	13448	yay no tariffs	2024-08-31 06:23:21
387	144	13415	Totally agree.	2024-04-15 15:38:40
388	16	13731	Unbelievable!	2025-02-19 23:13:16
389	194	13049	Unbelievable!	2024-01-27 14:52:41
390	155	13492	I oppose this order.	2025-02-27 10:16:03
391	161	13845	I oppose this order.	2024-05-02 05:13:59
392	25	13942	Disagree completely.	2024-01-16 05:19:48
393	115	13088	I oppose this order.	2024-08-18 17:57:41
394	8	13052	This order will NOT strengthen our borders.	2024-07-09 20:58:03
395	205	13783	I oppose this order.	2024-05-08 22:34:57
396	179	13113	What a move!	2024-08-01 00:25:42
398	18	14209	What a move!	2024-06-24 00:58:22
399	112	13280	Disagree completely.	2025-01-31 05:40:15
400	70	13570	justin trudeau for president	2024-12-26 02:59:43
401	142	13837	This order will NOT strengthen our borders.	2024-09-19 17:05:39
402	103	13460	This order will NOT strengthen our borders.	2024-08-15 17:23:53
404	133	13843	This order will NOT strengthen our borders.	2024-04-16 02:55:39
405	223	13172	Totally agree.	2025-03-05 19:16:36
406	4	13043	I support this order.	2024-01-25 16:05:24
407	3	14178	This order will strengthen our borders.	2024-10-01 06:17:13
408	122	13413	I support this order.	2024-10-01 08:53:43
409	68	13535	yay no tariffs	2024-02-04 21:26:55
410	210	13245	I support this order.	2024-02-07 09:10:52
411	221	13314	Unbelievable!	2024-11-19 02:01:01
412	140	13714	I support this order.	2024-01-17 03:27:44
413	59	13121	Totally agree.	2024-12-01 01:33:06
414	106	13757	justin trudeau for president	2025-02-09 04:39:14
415	136	13811	I oppose this order.	2024-12-24 11:59:47
416	125	14218	justin trudeau for president	2024-02-18 03:33:04
417	11	13752	I support this order.	2025-02-10 06:40:48
418	14	13523	yay no tariffs	2025-03-24 14:36:03
419	189	13549	I oppose this order.	2024-10-31 06:18:54
420	29	13154	Unbelievable!	2024-12-14 03:32:55
421	37	13941	Totally agree.	2024-05-01 17:56:43
423	36	13284	This order will NOT strengthen our borders.	2024-02-04 23:44:02
424	76	13114	justin trudeau for president	2024-03-06 07:56:36
425	219	13017	Disagree completely.	2025-01-09 20:03:17
426	132	13298	This order will strengthen our borders.	2025-02-21 02:19:13
428	237	13094	Unbelievable!	2024-10-08 12:33:14
429	214	13729	yay no tariffs	2024-08-28 20:12:32
430	111	12986	yay no tariffs	2024-09-03 20:15:49
431	130	13577	yay no tariffs	2024-01-22 17:23:50
432	177	14188	I oppose this order.	2024-10-05 02:39:07
434	95	13104	justin trudeau for president	2024-12-21 09:51:18
435	42	13097	yay no tariffs	2024-01-29 09:34:14
436	238	13792	Totally agree.	2024-02-08 04:18:51
437	200	13743	I support this order.	2024-12-03 13:41:04
440	152	13697	This order will NOT strengthen our borders.	2025-02-26 19:33:30
441	56	13776	Unbelievable!	2025-02-12 15:04:45
442	247	13054	yay no tariffs	2024-11-21 08:28:03
443	94	13033	justin trudeau for president	2024-10-31 03:30:35
445	245	13336	This order will NOT strengthen our borders.	2024-05-07 06:57:27
446	148	14180	What a move!	2024-12-28 04:55:12
448	42	13691	yay no tariffs	2025-02-11 19:16:25
449	18	12967	This order will NOT strengthen our borders.	2024-01-17 00:29:30
451	144	13184	I oppose this order.	2024-11-21 04:28:20
452	132	13198	This order will NOT strengthen our borders.	2024-02-15 06:32:28
453	89	13418	Disagree completely.	2024-08-04 05:25:15
455	163	14174	justin trudeau for president	2024-05-15 10:33:47
456	95	13874	This order will NOT strengthen our borders.	2024-09-04 04:20:50
457	130	13538	Disagree completely.	2024-07-12 12:02:48
458	197	13635	yay no tariffs	2024-08-25 06:26:15
459	91	13144	justin trudeau for president	2024-07-17 07:02:24
460	178	13141	Totally agree.	2024-02-23 02:45:41
461	182	13779	Unbelievable!	2024-11-30 03:25:51
463	240	13257	justin trudeau for president	2024-10-06 16:05:18
465	216	13175	I oppose this order.	2024-01-27 11:44:19
466	181	13966	This order will strengthen our borders.	2024-09-22 09:35:29
468	199	13783	This order will NOT strengthen our borders.	2024-05-30 12:53:52
469	53	13411	justin trudeau for president	2024-07-05 13:34:42
470	148	14217	Disagree completely.	2024-10-19 10:39:00
471	213	13069	This order will strengthen our borders.	2024-11-29 07:52:37
472	33	13953	yay no tariffs	2024-06-08 18:35:03
473	205	13424	What a move!	2024-06-01 11:15:09
474	61	13746	justin trudeau for president	2024-09-14 19:26:54
475	246	13657	yay no tariffs	2024-03-08 12:06:15
476	136	13259	Disagree completely.	2025-01-14 11:01:02
477	209	13831	This order will strengthen our borders.	2024-08-08 12:47:54
478	44	13193	I support this order.	2024-01-09 00:26:20
479	55	13149	justin trudeau for president	2024-10-01 14:08:20
480	197	13143	Unbelievable!	2024-12-03 02:41:35
481	119	13459	Unbelievable!	2025-01-10 16:01:13
482	244	13705	Disagree completely.	2024-12-04 04:02:09
483	179	13090	justin trudeau for president	2024-11-15 11:06:00
484	186	13602	yay no tariffs	2025-01-26 19:48:33
485	145	13402	Disagree completely.	2024-04-13 19:49:20
486	63	13517	yay no tariffs	2024-09-22 02:19:25
487	229	13359	yay no tariffs	2024-12-15 23:09:38
488	65	13226	Totally agree.	2024-05-04 23:24:50
489	209	13059	yay no tariffs	2025-03-15 09:07:43
490	180	13395	Unbelievable!	2024-09-12 16:17:27
491	122	13037	Disagree completely.	2024-01-03 13:54:24
492	73	13364	Disagree completely.	2024-11-21 20:22:34
493	8	13905	What a move!	2024-09-28 16:07:12
494	210	13218	Disagree completely.	2024-11-07 19:50:30
495	46	13017	Disagree completely.	2025-02-21 18:01:14
496	50	13754	I support this order.	2024-08-14 12:00:16
497	15	13034	yay no tariffs	2024-08-08 18:08:07
499	42	14167	justin trudeau for president	2024-04-16 23:31:50
500	49	13282	This order will strengthen our borders.	2025-01-29 07:14:33
501	3	13382	Disagree completely.	2024-04-09 14:27:14
502	182	13927	yay no tariffs	2024-04-17 02:42:29
503	213	14148	yay no tariffs	2024-02-12 11:46:57
504	148	13666	yay no tariffs	2025-01-13 02:48:13
505	141	13268	Disagree completely.	2025-01-05 10:23:14
506	176	13263	This order will strengthen our borders.	2024-05-15 00:23:45
507	104	12965	This order will strengthen our borders.	2024-10-14 17:44:16
508	163	14176	yay no tariffs	2024-04-13 06:11:06
509	235	13698	Disagree completely.	2024-05-02 07:25:57
510	250	13197	What a move!	2025-03-12 01:31:46
511	111	13594	yay no tariffs	2024-11-07 13:04:52
512	247	13015	justin trudeau for president	2025-02-25 21:45:27
513	146	13174	justin trudeau for president	2024-05-13 10:12:59
514	132	13341	I support this order.	2024-02-10 19:30:43
515	91	13046	I support this order.	2025-02-04 04:44:04
516	137	13399	What a move!	2024-01-07 13:25:32
517	114	13885	Unbelievable!	2024-07-07 23:29:25
518	60	13686	What a move!	2024-09-02 13:19:39
519	250	14178	This order will NOT strengthen our borders.	2024-12-28 04:40:30
520	181	13036	I support this order.	2024-12-04 09:04:03
521	228	13841	Disagree completely.	2025-01-15 03:19:08
522	91	13561	Disagree completely.	2024-02-02 06:40:36
